2025-01-14 00:14:02 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:14:08 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:14:14 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:14:20 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:14:26 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:14:32 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:14:38 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:14:44 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:14:50 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:14:56 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:15:02 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:15:08 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:15:14 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:15:20 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:15:26 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:15:32 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:15:38 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:15:44 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:15:50 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:15:56 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:16:02 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:16:08 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:16:14 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:16:20 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:16:26 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:16:32 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:16:38 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:16:44 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:16:50 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:16:56 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:17:02 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:17:08 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:17:14 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:17:20 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
